Request id,Pickup point,Driver id,Status,Request timestamp,Requested Weekday,Drop timestamp,Requested time(hr)
619,Airport,1,Trip Completed,11-07-2016 11:51,Monday,11-07-2016 13:00,11
867,Airport,1,Trip Completed,11-07-2016 17:57,Monday,11-07-2016 18:47,17
1807,City,1,Trip Completed,12-07-2016 09:17,Tuesday,12-07-2016 09:58,9
2532,Airport,1,Trip Completed,12-07-2016 21:08,Tuesday,12-07-2016 22:03,21
3112,City,1,Trip Completed,13-07-2016 08:33,Wednesday,13-07-2016 09:25,8
3879,Airport,1,Trip Completed,13-07-2016 21:57,Wednesday,13-07-2016 22:28,21
4270,Airport,1,Trip Completed,14-07-2016 06:15,Thursday,14-07-2016 07:13,6
5510,Airport,1,Trip Completed,15-07-2016 05:11,Friday,15-07-2016 06:07,5
6248,City,1,Trip Completed,15-07-2016 17:57,Friday,15-07-2016 18:50,17
267,City,2,Trip Completed,11-07-2016 06:46,Monday,11-07-2016 07:25,6
1467,Airport,2,Trip Completed,12-07-2016 05:08,Tuesday,12-07-2016 06:02,5
1983,City,2,Trip Completed,12-07-2016 12:30,Tuesday,12-07-2016 12:57,12
2784,Airport,2,Trip Completed,13-07-2016 04:49,Wednesday,13-07-2016 05:23,4
3075,City,2,Trip Completed,13-07-2016 08:02,Wednesday,13-07-2016 09:16,8
3379,City,2,Trip Completed,13-07-2016 14:23,Wednesday,13-07-2016 15:35,14
3482,Airport,2,Trip Completed,13-07-2016 17:23,Wednesday,13-07-2016 18:20,17
4652,City,2,Trip Completed,14-07-2016 12:01,Thursday,14-07-2016 12:36,12
5335,Airport,2,Trip Completed,14-07-2016 22:24,Thursday,14-07-2016 23:18,22
535,Airport,3,Trip Completed,11-07-2016 10:00,Monday,11-07-2016 10:31,10
960,Airport,3,Trip Completed,11-07-2016 18:45,Monday,11-07-2016 19:23,18
1934,Airport,3,Trip Completed,12-07-2016 11:17,Tuesday,12-07-2016 12:23,11
2083,Airport,3,Trip Completed,12-07-2016 15:46,Tuesday,12-07-2016 16:40,15
2211,Airport,3,Trip Completed,12-07-2016 18:00,Tuesday,12-07-2016 18:28,18
3096,Airport,3,Trip Completed,13-07-2016 08:17,Wednesday,13-07-2016 09:22,8
